Джотаро Куджо, Жив, Рыцари Звездной Пыли, Протагонист
Энрико Пуччи, Мертв, Каменный Океан, Антагонист
DIO, Мертв, Рыцари Звездной Пыли, Антагонист
Нарциссо Анасуй, Мертв, Каменный Океан, Протагонист
Нориаки Какёин, Мертв, Рыцари Звездной Пыли, Протагонист
Ванилла Айс, Мертв, Рыцари Звездной Пыли, Антагонист
Джозеф Джостар(рыцари звездной пыли), Жив, Рыцари Звездной Пыли, Протагонист
Жан-Пьер Польнарефф, Жив, Рыцари Звездной Пыли, Протагонист
Джоске Хигашиката, Жив, Несокрушимый Алмаз, Протагонист
Мухаммед Абдул, Мертв, Рыцари Звездной Пыли, Протагонист
Сантана, Мертв, Боевое Стремление, Антагонист
Эйсидиси, Жив, Боевое Стремление, Антагонист
Вамм, Жив, Боевое Стремление, Антагонист
Карс, Жив, Боевое Стремление, Антагонист
Игги, Мертв, Рыцари Звездной Пыли, Протагонист
Бруфорд, Мертв, Призрачная Кровь, Антагонист
Дайр, Мертв, Призрачная Кровь, Протагонист
Джонатан Джостар, Мертв, Призрачная Кровь, Протагонист
Дио Брандо, Жив, Призрачная Кровь, Антагонист
Роберт Э.О. Спидвагон, Жив, Призрачная Кровь, Протагонист
Стрэйтс, Жив, Призрачная Кровь, Протагонист
Таркус, Мертв, Призрачная Кровь, Антагонист
Уильям Антонио Цеппели, Мертв, Призрачная Кровь, Протагонист
Эрина Пендлтон, Жив, Призрачная Кровь, Протагонист
Джозеф Джостар, Жив, Боевое Стремление, Протагонист
Лиза Лиза, Жив, Боевое Стремление, Протагонист
Цезарь Антонио Цеппели, Мертв, Боевое Стремление, Протагонист
Рудольф фон Штрохайм, Мертв, Боевое Стремление, Протагонист
Алесси, Мертв, Рыцари Звездной Пыли, Антагонист
Дэниэл Джей Д'Арби, Жив, Рыцари Звездной Пыли, Антагонист
Мэрайя, Жив, Рыцари Звездной Пыли, Антагонист
Раббер Соул, Мертв, Рыцари Звездной Пыли, Антагонист
Теренс Т. Д'Арби, Мертв, Рыцари Звездной Пыли, Антагонист
Хол Хорс, Жив, Рыцари Звездной Пыли, Антагонист
Эн'Доул, Мертв, Рыцари Звездной Пыли, Антагонист
Эния, Мертв, Рыцари Звездной Пыли, Антагонист
Акира Отоиши, Мертв, Несокрушимый Алмаз, Антагонист
Кейчо Ниджимура, Мертв, Несокрушимый Алмаз, Антагонист
Джотаро Куджо(несокрушимый алмаз), Жив, Несокрушимый Алмаз, Протагонист
Коичи Хиросе, Жив, Несокрушимый Алмаз, Протагонист
Окуясу Ниджимура, Жив, Несокрушимый Алмаз, Протагонист
Рохан Кишибе, Жив, Несокрушимый Алмаз, Протагонист
Хаято Каваджири, Жив, Несокрушимый Алмаз, Протагонист
Юкако Ямагиши, Жив, Несокрушимый Алмаз, Нейтрален
Рейми Сугимото, Мертв, Несокрушимый Алмаз, Протагонист
Микитака Хазекура, Жив, Несокрушимый Алмаз, Протагонист
Кира Йошикаге, Мертв, Несокрушимый Алмаз, Антагонист
Бруно Бучеллати, Мертв, Золотой Ветер, Протагонист
Джорно Джованна, Жив, Золотой Ветер, Протагонист
Гвида Миста, Жив, Золотой Ветер, Протагонист
Леоне Аббакио, Мертв, Золотой Ветер, Протагонист
Наранча Гирга, Мертв, Золотой Ветер, Протагонист
Паннакотта Фуго, Жив, Золотой Ветер, Нейтрален
Триш Уна, Жив, Золотой Ветер, Протагонист
Жан-Пьер Польнарефф(золотой ветер), Мертв, Золотой Ветер, Протагонист
Ризотто Нэро, Мертв, Золотой Ветер, Антагонист
Иллюзо, Мертв, Золотой Ветер, Антагонист
Прошутто, Мертв, Золотой Ветер, Антагонист
Сквало, Мертв, Золотой Ветер, Антагонист
Тициано, Мертв, Золотой Ветер, Антагонист
Чоколатта, Мертв, Золотой Ветер, Антагонист
Секко, Мертв, Золотой Ветер, Антагонист
Дьяволо, Мертв, Золотой Ветер, Антагонист
Винегар Доппио, Мертв, Золотой Ветер, Антагонист
Джолин Куджо, Мертв, Каменный Океан, Протагонист
Эрмес Костелло, Мертв, Каменный Океан, Протагонист
Эмпорио Алниньо, Жив, Каменный Океан, Протагонист
Джотаро Куджо(каменный океан), Мертв, Каменный Океан, Протагонист
Фу Файтерс, Жив, Каменный Океан, Протагонист
Уэзер Репорт, Жив, Каменный Океан, Протагонист
ДИО, Мертв, Каменный Океан, Антагонист
, , , 
